display_name,model_name,strategy,fit_seconds,roc_auc,pr_auc,recall,precision,f1,f2,cost_per_applicant,best_f1,best_f1_threshold,n_false_negatives,n_false_positives
Logistic Regression (Baseline),logistic_regression,baseline,49.75,0.7520893365114777,0.23197801619142414,0.008188706917624054,0.5193798449612403,0.016123210203344965,0.010195696503028274,0.7922812768282214,0.29780396357793254,0.1511014699935913,8115,62
Logistic Regression (Cost-Sensitive),logistic_regression,cost_sensitive,56.87,0.7521815589696277,0.2298124406779393,0.6851625519432901,0.15926588823546123,0.2584541619603052,0.41264887305489717,0.540008194802154,0.29799231097821444,0.6588475704193115,2576,29593
Logistic Regression (SMOTE),logistic_regression,smote,79.11,0.7458957008676432,0.22561952756000153,0.6687851381080421,0.15921324449358434,0.2571972456581514,0.40776785847355324,0.5462908764536019,0.2925401403297318,0.6736524105072021,2710,28897
Random Forest (Baseline),random_forest,baseline,100.05,0.7505608333630368,0.23132617748237996,0.0018332925934979223,0.75,0.0036576444769568397,0.002290216196408941,0.7967981737298057,0.29583275390534464,0.14888990439289715,8167,5
Random Forest (Cost-Sensitive),random_forest,cost_sensitive,71.8,0.7531101989025346,0.233804540193415,0.6370080664874114,0.17267998542225757,0.2717059820148573,0.4142359841681105,0.5333547959104035,0.29708442724886,0.6260848010518165,2970,24971
Random Forest (SMOTE),random_forest,smote,213.53,0.719673721680396,0.17523917663847513,0.2215839648007822,0.21668459423927333,0.2191068946764155,0.22058644603966418,0.6852805744166082,0.2560851427257498,0.38389435038301534,6369,6554
XGBoost (Baseline),xgboost,baseline,22.5,0.7668907780034909,0.25125812195329894,0.022488389146907848,0.573208722741433,0.04327884276137834,0.02783745347816878,0.7815987668773902,0.31344948931422195,0.14658614993095398,7998,137
XGBoost (Cost-Sensitive),xgboost,cost_sensitive,21.92,0.7661371497899059,0.2496792497177044,0.6566854069909558,0.17638948163225107,0.2780839996894651,0.42515311209229456,0.5187895106532427,0.3125408763897972,0.63051438331604,2809,25088
XGBoost (SMOTE),xgboost,smote,54.94,0.748275522184337,0.2277505919582493,0.014177462723050599,0.5420560747663551,0.027632205812291567,0.017606702689575617,0.7878521813782877,0.2916233090530697,0.17982296645641327,8066,98
