repeat,fold,model_name,strategy,display_name,roc_auc,pr_auc,recall,precision,f1,f2,cost_per_applicant,best_f1,best_f1_threshold,n_false_negatives,n_false_positives,,,,,,,
1,4,random_forest,smote,Random Forest (SMOTE),0.712979841,0.176358709,0.224759615,0.228118329,0.226426517,0.225423422,0.690983147,0.259934918,0.417605542,2580,2531,,,,,,,
1,4,xgboost,baseline,XGBoost (Baseline),0.75992016,0.250670576,0.022235577,0.569230769,0.042799306,0.027525666,0.795005,0.313734341,0.15626964,3254,56,,,,,,,
1,4,xgboost,cost_sensitive,XGBoost (Cost-Sensitive),0.759625119,0.246497357,0.643930288,0.178613102,0.279655487,0.423350454,0.529377332,0.311939112,0.655966163,1185,9855,,,,,,,
1,4,xgboost,smote,XGBoost (SMOTE),0.744615825,0.227809519,0.018329327,0.458646617,0.035249928,0.022685013,0.798565889,0.292324561,0.181068808,3267,72,,,,,,,
1,5,logistic_regression,baseline,Logistic Regression (Baseline),0.751519281,0.234493784,0.009014423,0.652173913,0.017783047,0.011229226,0.804760859,0.304546398,0.143072218,3298,16,,,,,,,
1,5,logistic_regression,cost_sensitive,Logistic Regression (Cost-Sensitive),0.751385918,0.232751161,0.680588942,0.161118224,0.260554469,0.413774205,0.5468891,0.302968502,0.67440176,1063,11793,,,,,,,
1,5,logistic_regression,smote,Logistic Regression (SMOTE),0.745762558,0.225358437,0.657752404,0.159478362,0.256713967,0.404800651,0.559181483,0.298492153,0.662780106,1139,11537,,,,,,,
1,5,random_forest,baseline,Random Forest (Baseline),0.750585847,0.236052454,0.001201923,0.8,0.00240024,0.00150184,0.810736324,0.301899078,0.141489341,3324,1,,,,,,,
1,5,random_forest,cost_sensitive,Random Forest (Cost-Sensitive),0.752509584,0.238076507,0.621694712,0.176085106,0.274439581,0.412776315,0.543181874,0.302171023,0.616020907,1259,9681,,,,,,,
1,5,random_forest,smote,Random Forest (SMOTE),0.717236613,0.179854974,0.209134615,0.22272,0.215713622,0.211717467,0.70117802,0.258509263,0.390096857,2632,2429,,,,,,,
1,5,xgboost,baseline,XGBoost (Baseline),0.76698045,0.254918646,0.01953125,0.575221239,0.037779715,0.024208566,0.797004951,0.316691764,0.157085612,3263,48,,,,,,,
1,5,xgboost,cost_sensitive,XGBoost (Cost-Sensitive),0.76487121,0.251281743,0.644831731,0.180639731,0.282219884,0.425928866,0.525694495,0.313172043,0.648176253,1182,9734,,,,,,,
1,5,xgboost,smote,XGBoost (SMOTE),0.749223841,0.230875384,0.015625,0.536082474,0.030364964,0.019389962,0.800102437,0.298396121,0.199557617,3276,45,,,,,,,
2,1,logistic_regression,baseline,Logistic Regression (Baseline),0.745369381,0.225877067,0.007209372,0.489795918,0.014209591,0.008978676,0.806667967,0.300273167,0.143932924,3305,25,,,,,,,
2,1,logistic_regression,cost_sensitive,Logistic Regression (Cost-Sensitive),0.745446167,0.224519027,0.679483328,0.16071048,0.259940244,0.41290935,0.548339105,0.30051473,0.666298985,1067,11813,,,,,,,
2,1,logistic_regression,smote,Logistic Regression (SMOTE),0.737205713,0.218315536,0.654851307,0.159100861,0.256003758,0.403434747,0.561240915,0.294667186,0.649277866,1149,11522,,,,,,,
2,1,random_forest,baseline,Random Forest (Baseline),0.743821516,0.225178141,0,0,0,0,0.811936003,0.298787463,0.148191054,3329,1,,,,,,,
2,1,random_forest,cost_sensitive,Random Forest (Cost-Sensitive),0.745519461,0.225250047,0.619405227,0.174023124,0.271709053,0.409696006,0.54770499,0.299038658,0.600975753,1267,9787,,,,,,,
2,1,random_forest,smote,Random Forest (SMOTE),0.711278435,0.174991672,0.216881947,0.213735938,0.21529745,0.216245358,0.700599971,0.25998978,0.427124749,2607,2656,,,,,,,
2,1,xgboost,baseline,XGBoost (Baseline),0.759645493,0.246879102,0.017122259,0.504424779,0.033120279,0.021222727,0.79937564,0.314161431,0.165593594,3272,56,,,,,,,
2,1,xgboost,cost_sensitive,XGBoost (Cost-Sensitive),0.758197753,0.246301243,0.645839591,0.179615706,0.281064122,0.425136439,0.527047461,0.31254222,0.654452682,1179,9820,,,,,,,
2,1,xgboost,smote,XGBoost (SMOTE),0.741354368,0.223685715,0.015319916,0.536842105,0.02978972,0.019014242,0.800546315,0.29500263,0.1757126,3278,44,,,,,,,
2,2,logistic_regression,baseline,Logistic Regression (Baseline),0.757740414,0.241230046,0.006308201,0.636363636,0.012492564,0.007865758,0.807082581,0.302546649,0.157235831,3308,12,,,,,,,
2,2,logistic_regression,cost_sensitive,Logistic Regression (Cost-Sensitive),0.757499116,0.239153077,0.693902073,0.163748494,0.26496903,0.421179302,0.536242135,0.302583771,0.645174921,1019,11797,,,,,,,
2,2,logistic_regression,smote,Logistic Regression (SMOTE),0.751585566,0.231625931,0.675878642,0.163505559,0.263311878,0.415481774,0.543900298,0.298432189,0.677144825,1079,11511,,,,,,,
2,2,random_forest,baseline,Random Forest (Baseline),0.755239386,0.247304542,0.000901172,1,0.00180072,0.001126211,0.811179942,0.309466712,0.148640919,3326,0,,,,,,,
2,2,random_forest,cost_sensitive,Random Forest (Cost-Sensitive),0.757757282,0.247051425,0.631420847,0.177969689,0.277675033,0.418275162,0.536047022,0.310408719,0.613522353,1227,9709,,,,,,,
2,2,random_forest,smote,Random Forest (SMOTE),0.724304083,0.182727878,0.22499249,0.23117284,0.228040798,0.226201981,0.689990732,0.266280499,0.393401564,2580,2491,,,,,,,
2,2,xgboost,baseline,XGBoost (Baseline),0.770094283,0.262400827,0.01802343,0.666666667,0.035097982,0.02237804,0.798009853,0.322339273,0.134826258,3269,30,,,,,,,
2,2,xgboost,cost_sensitive,XGBoost (Cost-Sensitive),0.76877161,0.26104764,0.654550916,0.182327839,0.285209424,0.431194839,0.518803961,0.316086343,0.640620649,1150,9772,,,,,,,
2,2,xgboost,smote,XGBoost (SMOTE),0.752922628,0.239000797,0.013817963,0.666666667,0.02707475,0.017183414,0.801253597,0.304757246,0.197669163,3283,23,,,,,,,
2,3,logistic_regression,baseline,Logistic Regression (Baseline),0.740333597,0.219866162,0.006908982,0.534883721,0.013641756,0.008608429,0.80680959,0.293433867,0.146282583,3306,20,,,,,,,
2,3,logistic_regression,cost_sensitive,Logistic Regression (Cost-Sensitive),0.741108638,0.21907662,0.675878642,0.157728707,0.255769012,0.407889489,0.556205946,0.293421474,0.663272321,1079,12015,,,,,,,
2,3,logistic_regression,smote,Logistic Regression (SMOTE),0.734265341,0.21350019,0.652748573,0.15723589,0.253425856,0.400390625,0.566010585,0.285714286,0.685552537,1156,11647,,,,,,,
2,3,random_forest,baseline,Random Forest (Baseline),0.737283383,0.222151775,0.001501953,0.555555556,0.002995806,0.001876173,0.810809492,0.28687441,0.128586508,3324,4,,,,,,,
2,3,random_forest,cost_sensitive,Random Forest (Cost-Sensitive),0.739096467,0.224645274,0.615800541,0.169016407,0.26523483,0.402829633,0.557766884,0.294160968,0.611467249,1279,10079,,,,,,,
2,3,random_forest,smote,Random Forest (SMOTE),0.708964027,0.177413047,0.227395614,0.223501624,0.225431805,0.226605999,0.69144655,0.25210838,0.402836673,2572,2630,,,,,,,
2,3,xgboost,baseline,XGBoost (Baseline),0.755521864,0.241426933,0.01772304,0.526785714,0.034292357,0.02196902,0.798834175,0.306485014,0.150223807,3270,53,,,,,,,
2,3,xgboost,cost_sensitive,XGBoost (Cost-Sensitive),0.751696714,0.238914738,0.6329228,0.174305096,0.273334631,0.414698473,0.541474598,0.299086294,0.628210366,1222,9981,,,,,,,
2,3,xgboost,smote,XGBoost (SMOTE),0.741797255,0.223824191,0.01772304,0.531531532,0.034302326,0.021970656,0.798809785,0.289946822,0.206712738,3270,52,,,,,,,
2,4,logistic_regression,baseline,Logistic Regression (Baseline),0.739577023,0.223662248,0.011418269,0.487179487,0.022313564,0.014189694,0.803395039,0.300915831,0.150618866,3290,40,,,,,,,
2,4,logistic_regression,cost_sensitive,Logistic Regression (Cost-Sensitive),0.739955493,0.222785452,0.659555288,0.157223695,0.253918677,0.402412643,0.563303334,0.300541018,0.669634521,1133,11766,,,,,,,
2,4,logistic_regression,smote,Logistic Regression (SMOTE),0.735359876,0.21803076,0.653245192,0.1578336,0.25423927,0.401314332,0.564376479,0.291876811,0.679636896,1154,11600,,,,,,,
2,4,random_forest,baseline,Random Forest (Baseline),0.738605228,0.225629642,0.002403846,0.8,0.004793289,0.003002552,0.809785127,0.300862565,0.149474563,3320,2,,,,,,,
2,4,random_forest,cost_sensitive,Random Forest (Cost-Sensitive),0.740253633,0.225823429,0.609975962,0.168716755,0.264322917,0.400489268,0.560522914,0.300616406,0.633784902,1298,10002,,,,,,,
2,4,random_forest,smote,Random Forest (SMOTE),0.703451124,0.169147828,0.211237981,0.220999686,0.216008603,0.213120718,0.700665837,0.254075323,0.409801741,2625,2478,,,,,,,
2,4,xgboost,baseline,XGBoost (Baseline),0.756949307,0.245873195,0.024939904,0.55704698,0.047742307,0.030829805,0.793053828,0.310220254,0.160307348,3245,66,,,,,,,
2,4,xgboost,cost_sensitive,XGBoost (Cost-Sensitive),0.75424825,0.244395886,0.629206731,0.173819208,0.272390244,0.41287117,0.543718446,0.310912143,0.654619932,1234,9953,,,,,,,
2,4,xgboost,smote,XGBoost (SMOTE),0.734214311,0.217327607,0.015925481,0.504761905,0.030876784,0.019751062,0.800029268,0.285747773,0.19491519,3275,52,,,,,,,
2,5,logistic_regression,baseline,Logistic Regression (Baseline),0.754043665,0.226340796,0.009615385,0.524590164,0.018884627,0.011964406,0.804590132,0.297958769,0.141543657,3296,29,,,,,,,
2,5,logistic_regression,cost_sensitive,Logistic Regression (Cost-Sensitive),0.753732871,0.224970482,0.692608173,0.163847029,0.265003449,0.420927684,0.536401551,0.297851845,0.63869518,1023,11763,,,,,,,
2,5,logistic_regression,smote,Logistic Regression (SMOTE),0.746546912,0.218026557,0.674579327,0.162398727,0.261777052,0.413657134,0.546547645,0.293309616,0.655875802,1083,11579,,,,,,,
2,5,random_forest,baseline,Random Forest (Baseline),0.752664367,0.229199525,0.000901442,0.375,0.001798561,0.001126126,0.811077779,0.296019353,0.145566098,3325,5,,,,,,,
2,5,random_forest,cost_sensitive,Random Forest (Cost-Sensitive),0.755075623,0.230384747,0.624399038,0.179555863,0.278907456,0.417520595,0.53645033,0.302306898,0.62671463,1250,9495,,,,,,,
2,5,random_forest,smote,Random Forest (SMOTE),0.719163589,0.170980435,0.209134615,0.215213358,0.212130448,0.210322737,0.703836492,0.258322442,0.367127411,2632,2538,,,,,,,
2,5,xgboost,baseline,XGBoost (Baseline),0.770018781,0.25142691,0.024639423,0.573426573,0.047248632,0.030471944,0.793175776,0.315528975,0.143025786,3246,61,,,,,,,
2,5,xgboost,cost_sensitive,XGBoost (Cost-Sensitive),0.766281981,0.248355133,0.655649038,0.181863644,0.284744878,0.431054919,0.518914173,0.312123535,0.645414948,1146,9816,,,,,,,
2,5,xgboost,smote,XGBoost (SMOTE),0.748807213,0.223167722,0.018028846,0.491803279,0.034782609,0.022331398,0.798565889,0.296296296,0.187400535,3268,62,,,,,,,
3,1,logistic_regression,baseline,Logistic Regression (Baseline),0.746910057,0.228076997,0.008410934,0.583333333,0.016582766,0.010475905,0.80557046,0.301072865,0.153021976,3301,20,,,,,,,
3,1,logistic_regression,cost_sensitive,Logistic Regression (Cost-Sensitive),0.746408277,0.225742287,0.68068489,0.160254597,0.259430992,0.412660256,0.548851276,0.3012834,0.657428026,1063,11874,,,,,,,
3,1,logistic_regression,smote,Logistic Regression (SMOTE),0.738833497,0.219458328,0.656052869,0.159148874,0.256157635,0.40386109,0.560679967,0.287736396,0.693289578,1145,11539,,,,,,,
3,1,random_forest,baseline,Random Forest (Baseline),0.742631078,0.224922718,0.001201562,0.5,0.002397363,0.001501051,0.811033608,0.298311033,0.144014423,3325,4,,,,,,,
3,1,random_forest,cost_sensitive,Random Forest (Cost-Sensitive),0.746046406,0.227091165,0.617903274,0.171631206,0.268643072,0.406505672,0.552363299,0.298952458,0.600724588,1272,9928,,,,,,,
3,1,random_forest,smote,Random Forest (SMOTE),0.711249363,0.171904661,0.221087414,0.218527316,0.21979991,0.220570607,0.696600166,0.25480071,0.384183588,2593,2632,,,,,,,
3,1,xgboost,baseline,XGBoost (Baseline),0.760073502,0.249731733,0.01772304,0.531531532,0.034302326,0.021970656,0.798790303,0.311232279,0.149742469,3270,52,,,,,,,
3,1,xgboost,cost_sensitive,XGBoost (Cost-Sensitive),0.757992428,0.248813707,0.647041153,0.176992605,0.277953416,0.422584949,0.530852154,0.315016733,0.642355382,1175,10016,,,,,,,
