display_name,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,recall_mean,precision_mean,f1_mean,f2_mean,cost_mean
XGBoost (Baseline),0.7621920125117504,0.0046109832240435475,0.2502095421342997,0.005143765267896853,0.020469200104366446,0.5679129725680069,0.039491323712321176,0.025354139127467788,0.7964833641998236
XGBoost (Cost-Sensitive),0.7599586585953617,0.004474750866253087,0.24702768726164456,0.005025441482651026,0.6428526375153083,0.17837241681903085,0.27925446008196175,0.422697663461792,0.5303477629770722
Random Forest (Cost-Sensitive),0.7473580833272055,0.005153760693435273,0.23070324032206374,0.006225999902532907,0.6187380313157104,0.17349979179175753,0.2709978851148295,0.4088623978419393,0.5488528163429809
Random Forest (Baseline),0.745548313273664,0.004977626479653683,0.22999286976884292,0.006724051415583313,0.0010415041958392064,0.6337037037037038,0.002078650276252436,0.0013011980598506764,0.8110340910478284
Logistic Regression (Baseline),0.7475312439615258,0.004754306155049443,0.22757711531433328,0.00558030055024602,0.0084521416302732,0.523191423844676,0.016625439631648743,0.010521042636804213,0.8056082587981072
Logistic Regression (Cost-Sensitive),0.747579660474593,0.004559594628656395,0.22597184192607578,0.00536541762007811,0.6802056074338948,0.16068296472872684,0.25995435784071175,0.41307935741875446,0.5480723591534876
XGBoost (SMOTE),0.7437519114115129,0.0047558755392328985,0.2240091231343686,0.005814781617353712,0.015602236031841393,0.5098982094080392,0.030255836566041614,0.019351038940231914,0.8003970544684749
Logistic Regression (SMOTE),0.7410195195620441,0.004603197714484887,0.2197702264648042,0.00459908664155803,0.6634419276309202,0.16021741185000107,0.25810213601877174,0.4074702193401958,0.5555436420112704
Random Forest (SMOTE),0.7135119535534874,0.005138912385295411,0.17504170733121766,0.0036564068906781056,0.21826939324005823,0.22242419100765398,0.22029138091008862,0.21906542094961826,0.6965892244688946
